1 1:0.5510632991790771 2:0.8194616436958313 3:128.291259765625
1 1:0.4939580261707306 2:0.9799166321754456 3:101.0887222290039
1 1:0.6568315029144287 2:0.8835991621017456 3:137.02520751953125
1 1:0.5671187043190002 2:0.9034484028816223 3:103.87014770507812
1 1:0.511232852935791 2:0.8840762376785278 3:105.05999755859375
1 1:0.5541553497314453 2:0.9668512940406799 3:123.88931274414062
1 1:0.5493367910385132 2:0.8912747502326965 3:129.71632385253906
1 1:0.5774776339530945 2:0.9144975543022156 3:130.79852294921875
1 1:0.5130351781845093 2:0.9528972506523132 3:156.43759155273438
1 1:0.5507692694664001 2:0.9641438722610474 3:151.95579528808594
1 1:0.46697211265563965 2:0.9744146466255188 3:163.16006469726562
1 1:0.5560083985328674 2:0.9747632145881653 3:120.77391815185547
1 1:0.33045560121536255 2:0.9719087481498718 3:102.91275787353516
1 1:0.4612790048122406 2:0.9717410206794739 3:129.70155334472656
1 1:0.5366843342781067 2:0.7937353849411011 3:112.09738159179688
1 1:0.5348258018493652 2:0.9462272524833679 3:107.5838623046875
1 1:0.6066806316375732 2:0.8991552591323853 3:89.40485382080078
1 1:0.632199227809906 2:0.9484046101570129 3:114.5226058959961
1 1:0.5168131589889526 2:0.6614038944244385 3:122.83750915527344
1 1:0.456560879945755 2:0.9245820641517639 3:137.13331604003906
1 1:0.5579918622970581 2:0.9451064467430115 3:107.61003875732422
1 1:0.5596005916595459 2:0.9570012092590332 3:101.61930084228516
1 1:0.5643625259399414 2:0.7345483899116516 3:118.00767517089844
1 1:0.5317459106445312 2:0.9125970005989075 3:122.08296203613281
1 1:0.5660731196403503 2:0.9629290103912354 3:138.11851501464844
1 1:0.5840381979942322 2:0.9641358256340027 3:172.26553344726562
1 1:0.48833924531936646 2:0.8286845684051514 3:108.26856994628906
1 1:0.6221582889556885 2:0.8872624039649963 3:131.79954528808594
1 1:0.5143122673034668 2:0.9529986381530762 3:135.20079040527344
1 1:0.5967105627059937 2:0.9053806662559509 3:122.44064331054688
1 1:0.5518532991409302 2:0.9119685292243958 3:154.8504180908203
1 1:0.6150398254394531 2:0.9673380255699158 3:129.43753051757812
1 1:0.5005728602409363 2:0.9734622836112976 3:98.7851791381836
1 1:0.5160350203514099 2:0.9776501655578613 3:110.28951263427734
1 1:0.5936912894248962 2:0.9550303816795349 3:130.33348083496094
1 1:0.61921626329422 2:0.8695074319839478 3:103.35749053955078
1 1:0.5718336701393127 2:0.9360089302062988 3:109.14214324951172
1 1:0.5691320300102234 2:0.9737072587013245 3:86.49089050292969
1 1:0.5068392157554626 2:0.9429455995559692 3:111.64073944091797
1 1:0.6145363450050354 2:0.9407627582550049 3:112.09412384033203
1 1:0.40431347489356995 2:0.9679867029190063 3:152.77687072753906
1 1:0.5775577425956726 2:0.9611430168151855 3:120.39610290527344
1 1:0.5817326307296753 2:0.9316310286521912 3:99.023681640625
1 1:0.484013170003891 2:0.9730080962181091 3:129.04937744140625
1 1:0.5083058476448059 2:0.6238505244255066 3:101.37171936035156
1 1:0.5324986577033997 2:0.5135621428489685 3:123.44661712646484
1 1:0.5626026391983032 2:0.9218752980232239 3:146.78932189941406
1 1:0.5245897769927979 2:0.9565221667289734 3:100.79496002197266
1 1:0.5700337886810303 2:0.9777228832244873 3:156.16213989257812
1 1:0.580712080001831 2:0.7760159373283386 3:119.78292846679688
1 1:0.5031040906906128 2:0.8220494389533997 3:184.5702362060547
1 1:0.4856969714164734 2:0.9773219227790833 3:112.92332458496094
1 1:0.5897518396377563 2:0.966592013835907 3:165.66680908203125
1 1:0.46974095702171326 2:0.9694074988365173 3:105.9776611328125
1 1:0.4747644066810608 2:0.950523853302002 3:150.02505493164062
1 1:0.528660774230957 2:0.5146065950393677 3:100.09619140625
1 1:0.574464738368988 2:0.9276759624481201 3:107.87352752685547
1 1:0.5303856730461121 2:0.9419633746147156 3:136.27513122558594
1 1:0.47059130668640137 2:0.9794686436653137 3:94.68925476074219
1 1:0.5437864661216736 2:0.9506922960281372 3:125.80891418457031
1 1:0.5632564425468445 2:0.8925701379776001 3:90.92521667480469
1 1:0.5076689720153809 2:0.9601598381996155 3:91.89964294433594
1 1:0.5913794636726379 2:0.9787691235542297 3:116.84552764892578
1 1:0.5391876101493835 2:0.9339450001716614 3:146.99610900878906
1 1:0.5880946516990662 2:0.9480287432670593 3:156.51470947265625
1 1:0.5825267434120178 2:0.9745372533798218 3:163.5828857421875
1 1:0.5402407050132751 2:0.9620783925056458 3:135.08755493164062
1 1:0.5760515332221985 2:0.9689261317253113 3:140.87806701660156
