feature,weight
lowlevel.erbbands.kurt[15].vocal,0.0012066756396282858
lowlevel.erbbands.kurt[16].vocal,0.0012066756396282858
lowlevel.erbbands.max[1].vocal,0.0012066756396282858
lowlevel.erbbands.max[38].vocal,0.0012066756396282858
lowlevel.erbbands.mean[4].vocal,0.0016070693593924108
lowlevel.erbbands.mean[8].vocal,0.0012066756396282858
lowlevel.erbbands.mean[9].vocal,0.0016070693593924108
lowlevel.erbbands.mean[28].vocal,0.0012066756396282858
lowlevel.erbbands.median[4].vocal,0.0012066756396282858
lowlevel.erbbands.median[5].vocal,0.0012066756396282858
lowlevel.erbbands.median[7].vocal,0.0012066756396282858
lowlevel.erbbands.median[8].vocal,0.0012066756396282858
lowlevel.erbbands.median[9].vocal,0.0012066756396282858
lowlevel.erbbands.median[17].vocal,0.0012066756396282858
lowlevel.erbbands.median[20].vocal,0.0016070693593924108
lowlevel.erbbands.median[26].vocal,0.0016070693593924108
lowlevel.erbbands.median[28].vocal,0.0012066756396282858
lowlevel.erbbands.median[31].vocal,0.0012066756396282858
lowlevel.erbbands.median[32].vocal,0.0012066756396282858
lowlevel.erbbands.median[34].vocal,0.0012066756396282858
lowlevel.erbbands.skew[1].vocal,0.0016070693593924108
lowlevel.erbbands.skew[37].vocal,0.0016070693593924108
lowlevel.erbbands.var[6].vocal,0.0012066756396282858
lowlevel.erbbands.var[10].vocal,0.0012066756396282858
lowlevel.erbbands.var[16].vocal,0.0012066756396282858
lowlevel.erbbands.var[31].vocal,0.0012066756396282858
lowlevel.gfcc.dvar[8].vocal,0.04204683505556905
lowlevel.gfcc.kurt[1].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[2].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[4].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[5].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[6].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[7].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[8].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[9].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[10].vocal,0.0016070693593924108
lowlevel.gfcc.kurt[11].vocal,0.0012066756396282858
lowlevel.gfcc.kurt[12].vocal,0.0016070693593924108
