kernel,params,rank_test_score,mean_test_score,std_test_score
10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",1,0.555540133704777,0.052515309805204975
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",1,0.555540133704777,0.052515309805204975
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",3,0.5538080854986183,0.05313942596118794
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",4,0.5537081401025948,0.05331924058033371
1_linear,"{'C': 1, 'kernel': 'linear'}",5,0.5535788271255485,0.05316334065575143
10_linear,"{'C': 10, 'kernel': 'linear'}",6,0.5521869274033792,0.05338854408383241
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",7,0.5521545147435538,0.053338774798700916
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.551207301246297,0.05036157789734796
1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",9,0.550850558310475,0.05167635761226885
1000_linear,"{'C': 1000, 'kernel': 'linear'}",10,0.5503839474444379,0.052398136774727065
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",11,0.5498273010381843,0.05146298655646629
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",11,0.5498273010381843,0.05146298655646629
100_linear,"{'C': 100, 'kernel': 'linear'}",13,0.5489884793487315,0.05167588260250857
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",14,0.5484990515275682,0.05026392574967419
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",15,0.5478312333739842,0.054456456765638525
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",16,0.5475788096173861,0.054888188943184577
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",17,0.5474473072340783,0.05485211639881106
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",18,0.5450201724665876,0.05380354575333388
1_auto_rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",18,0.5450201724665876,0.05380354575333388
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",20,0.5441892973791486,0.049248155178406854
