kernel,params,rank_test_score,mean_test_score,std_test_score
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6096525879205116,0.050170380922487386
100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",2,0.6092572964170092,0.052160907357988374
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.607629398960451,0.05022975830636532
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",4,0.6048483081338282,0.047545993076705415
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",5,0.6041542335877815,0.05078842807635325
1000_2_0.001_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",6,0.6023461200019607,0.04875429000072454
0.1_2_0.1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",6,0.6023461200019607,0.04875429000072454
10_2_0.01_poly,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",6,0.6023461200019607,0.04875429000072454
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",9,0.6019193155732396,0.0501177881782268
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",10,0.6017951231194311,0.05297601914740525
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",10,0.6017951231194311,0.05297601914740525
1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",12,0.6013660958485597,0.04866395831297647
0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",13,0.601253557420804,0.04865397373879277
100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",14,0.6012395988973754,0.048914515631982895
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",15,0.6010972378300857,0.047358577028086254
