feature,index,weight
lowlevel.erbbands.median[22].original,106,0.12777514362743556
lowlevel.erbbands.skew[6].original,107,0.026795978542166483
lowlevel.erbbands.var[6].original,108,0.026795978542166483
lowlevel.erbbands.var[8].original,109,0.027801692974787285
lowlevel.erbbands.var[9].original,110,0.027801692974787285
lowlevel.erbbands.var[13].original,111,0.026795978542166483
lowlevel.erbbands.var[14].original,112,0.026795978542166483
lowlevel.erbbands.var[16].original,113,0.026795978542166483
lowlevel.erbbands.var[17].original,114,0.026795978542166483
lowlevel.erbbands.var[25].original,115,0.027801692974787285
lowlevel.erbbands.var[27].original,116,0.026795978542166483
lowlevel.gfcc.kurt[2].original,117,0.026795978542166483
lowlevel.gfcc.kurt[3].original,118,0.040145897079947326
lowlevel.gfcc.kurt[4].original,119,0.027801692974787285
lowlevel.gfcc.kurt[5].original,120,0.026795978542166483
lowlevel.gfcc.kurt[6].original,121,0.026795978542166483
lowlevel.gfcc.kurt[7].original,122,0.026795978542166483
lowlevel.gfcc.kurt[8].original,123,0.026795978542166483
lowlevel.gfcc.kurt[9].original,124,0.026795978542166483
lowlevel.gfcc.kurt[10].original,125,0.026795978542166483
lowlevel.gfcc.kurt[11].original,126,0.026795978542166483
lowlevel.gfcc.kurt[12].original,127,0.026795978542166483
lowlevel.gfcc.kurt[13].original,128,0.026795978542166483
lowlevel.gfcc.max[5].original,129,0.026795978542166483
lowlevel.gfcc.max[10].original,130,0.027801692974787285
lowlevel.gfcc.max[11].original,131,0.044790058848918526
lowlevel.gfcc.max[12].original,132,0.027801692974787285
lowlevel.gfcc.max[13].original,133,0.026795978542166483
lowlevel.gfcc.min[2].original,134,0.026795978542166483
lowlevel.gfcc.min[5].original,135,0.048108675992553085
lowlevel.gfcc.min[7].original,136,0.026795978542166483
lowlevel.gfcc.min[8].original,137,0.027801692974787285
lowlevel.gfcc.min[9].original,138,0.026795978542166483
lowlevel.gfcc.min[10].original,139,0.027801692974787285
lowlevel.gfcc.min[11].original,140,0.026795978542166483
lowlevel.gfcc.min[12].original,141,0.026795978542166483
lowlevel.gfcc.min[13].original,142,0.027801692974787285
lowlevel.gfcc.skew[4].original,143,0.06639202015187655
lowlevel.gfcc.skew[5].original,144,0.026795978542166483
lowlevel.gfcc.skew[6].original,145,0.026795978542166483
lowlevel.gfcc.skew[7].original,146,0.026795978542166483
lowlevel.gfcc.skew[8].original,147,0.027801692974787285
lowlevel.gfcc.skew[9].original,148,0.026795978542166483
lowlevel.gfcc.skew[10].original,149,0.026795978542166483
lowlevel.gfcc.skew[11].original,150,0.026795978542166483
lowlevel.gfcc.skew[12].original,151,0.026795978542166483
lowlevel.gfcc.skew[13].original,152,0.026795978542166483
lowlevel.gfcc.var[3].original,153,0.05591514048633977
lowlevel.gfcc.var[5].original,154,0.03902610041788292
lowlevel.gfcc.var[8].original,155,0.04391765838229018
lowlevel.gfcc.var[13].original,156,0.08062228267266719
lowlevel.melbands.kurt[1].original,157,0.026795978542166483
lowlevel.melbands.kurt[2].original,158,0.027801692974787285
lowlevel.melbands.kurt[12].original,159,0.026795978542166483
lowlevel.melbands.max[14].original,160,0.026795978542166483
lowlevel.melbands.max[15].original,161,0.026795978542166483
lowlevel.melbands.skew[9].original,162,0.026795978542166483
lowlevel.melbands.skew[17].original,163,0.027801692974787285
lowlevel.melbands.skew[31].original,164,0.07243346850217668
lowlevel.melbands128.kurt[1].original,165,0.026795978542166483
lowlevel.melbands128.kurt[2].original,166,0.026795978542166483
lowlevel.melbands128.kurt[8].original,167,0.026795978542166483
lowlevel.melbands128.kurt[13].original,168,0.026795978542166483
lowlevel.melbands128.kurt[15].original,169,0.026795978542166483
lowlevel.melbands128.kurt[17].original,170,0.026795978542166483
lowlevel.melbands128.kurt[22].original,171,0.026795978542166483
lowlevel.melbands128.kurt[24].original,172,0.026795978542166483
lowlevel.melbands128.kurt[29].original,173,0.026795978542166483
lowlevel.melbands128.kurt[39].original,174,0.026795978542166483
lowlevel.melbands128.kurt[92].original,175,0.027801692974787285
lowlevel.melbands128.kurt[103].original,176,0.026795978542166483
lowlevel.melbands128.max[17].original,177,0.027801692974787285
lowlevel.melbands128.max[19].original,178,0.027801692974787285
lowlevel.melbands128.max[21].original,179,0.027801692974787285
lowlevel.melbands128.max[24].original,180,0.027801692974787285
lowlevel.melbands128.max[34].original,181,0.026795978542166483
lowlevel.melbands128.max[42].original,182,0.027801692974787285
lowlevel.melbands128.max[43].original,183,0.027801692974787285
lowlevel.melbands128.max[45].original,184,0.026795978542166483
lowlevel.melbands128.max[46].original,185,0.027801692974787285
lowlevel.melbands128.max[48].original,186,0.026795978542166483
lowlevel.melbands128.max[50].original,187,0.027801692974787285
lowlevel.melbands128.max[52].original,188,0.026795978542166483
lowlevel.melbands128.max[54].original,189,0.027801692974787285
lowlevel.melbands128.max[57].original,190,0.026795978542166483
lowlevel.melbands128.max[58].original,191,0.027801692974787285
lowlevel.melbands128.median[7].original,192,0.04398633588633586
lowlevel.melbands128.skew[10].original,193,0.026795978542166483
lowlevel.melbands128.skew[12].original,194,0.026795978542166483
lowlevel.melbands128.skew[21].original,195,0.026795978542166483
lowlevel.melbands128.skew[26].original,196,0.026795978542166483
lowlevel.melbands128.skew[27].original,197,0.026795978542166483
lowlevel.melbands128.skew[35].original,198,0.026795978542166483
lowlevel.melbands128.skew[37].original,199,0.026795978542166483
lowlevel.melbands128.skew[38].original,200,0.026795978542166483
lowlevel.melbands128.skew[42].original,201,0.027801692974787285
lowlevel.melbands128.skew[45].original,202,0.027801692974787285
lowlevel.melbands128.skew[53].original,203,0.06070087043897373
lowlevel.melbands128.skew[54].original,204,0.04365952053722198
lowlevel.melbands128.skew[55].original,205,0.05163356532856465
lowlevel.melbands128.skew[56].original,206,0.05024627273037559
lowlevel.melbands128.skew[57].original,207,0.05016505430822894
lowlevel.melbands128.skew[58].original,208,0.0448154652976601
lowlevel.melbands128.skew[62].original,209,0.05470800023786499
lowlevel.melbands128.skew[64].original,210,0.06375973842919527
lowlevel.melbands128.skew[65].original,211,0.07008407268791345
lowlevel.melbands128.skew[66].original,212,0.0768638444768872
lowlevel.melbands128.skew[67].original,213,0.07252876504338514
lowlevel.melbands128.skew[74].original,214,0.0722628488718272
lowlevel.melbands128.skew[91].original,215,0.03834864809881658
lowlevel.melbands128.skew[119].original,216,0.027801692974787285
lowlevel.mfcc.kurt[1].original,217,0.052675341581293486
lowlevel.mfcc.kurt[3].original,218,0.026795978542166483
lowlevel.mfcc.kurt[4].original,219,0.026795978542166483
lowlevel.mfcc.kurt[5].original,220,0.026795978542166483
lowlevel.mfcc.kurt[6].original,221,0.026795978542166483
lowlevel.mfcc.kurt[7].original,222,0.026795978542166483
lowlevel.mfcc.kurt[8].original,223,0.026795978542166483
lowlevel.mfcc.kurt[9].original,224,0.026795978542166483
lowlevel.mfcc.kurt[10].original,225,0.026795978542166483
lowlevel.mfcc.kurt[11].original,226,0.026795978542166483
lowlevel.mfcc.kurt[12].original,227,0.026795978542166483
lowlevel.mfcc.kurt[13].original,228,0.026795978542166483
lowlevel.mfcc.max[3].original,229,0.04984646714930247
lowlevel.mfcc.max[7].original,230,0.026795978542166483
lowlevel.mfcc.max[9].original,231,0.026795978542166483
lowlevel.mfcc.max[10].original,232,0.026795978542166483
lowlevel.mfcc.max[11].original,233,0.026795978542166483
lowlevel.mfcc.max[12].original,234,0.026795978542166483
lowlevel.mfcc.max[13].original,235,0.04770810039797255
lowlevel.mfcc.mean[10].original,236,0.027801692974787285
lowlevel.mfcc.mean[11].original,237,0.026795978542166483
lowlevel.mfcc.mean[12].original,238,0.03261657642461941
lowlevel.mfcc.median[5].original,239,0.027801692974787285
lowlevel.mfcc.median[13].original,240,0.026795978542166483
lowlevel.mfcc.min[4].original,241,0.05864028653703027
lowlevel.mfcc.min[5].original,242,0.027801692974787285
lowlevel.mfcc.min[6].original,243,0.0627197199128373
lowlevel.mfcc.min[7].original,244,0.027801692974787285
lowlevel.mfcc.min[8].original,245,0.04758498102823462
lowlevel.mfcc.min[9].original,246,0.04779348366127638
lowlevel.mfcc.min[10].original,247,0.04853982195400458
lowlevel.mfcc.min[11].original,248,0.03690245504354291
lowlevel.mfcc.min[12].original,249,0.0794553279419737
lowlevel.mfcc.min[13].original,250,0.027801692974787285
lowlevel.mfcc.skew[3].original,251,0.026795978542166483
lowlevel.mfcc.skew[4].original,252,0.026795978542166483
lowlevel.mfcc.skew[5].original,253,0.026795978542166483
lowlevel.mfcc.skew[6].original,254,0.026795978542166483
lowlevel.mfcc.skew[7].original,255,0.026795978542166483
lowlevel.mfcc.skew[8].original,256,0.026795978542166483
lowlevel.mfcc.skew[9].original,257,0.026795978542166483
lowlevel.mfcc.skew[10].original,258,0.026795978542166483
lowlevel.mfcc.skew[11].original,259,0.026795978542166483
lowlevel.mfcc.skew[12].original,260,0.026795978542166483
lowlevel.mfcc.skew[13].original,261,0.026795978542166483
lowlevel.mfcc.var[6].original,262,0.05643713970928215
lowlevel.mfcc.var[7].original,263,0.05544525757603933
lowlevel.mfcc.var[9].original,264,0.05484289977682112
lowlevel.spectral_contrast_coeffs.kurt[1].original,265,0.026795978542166483
lowlevel.spectral_contrast_coeffs.kurt[2].original,266,0.027801692974787285
lowlevel.spectral_contrast_coeffs.kurt[3].original,267,0.027801692974787285
lowlevel.spectral_contrast_coeffs.kurt[4].original,268,0.027801692974787285
lowlevel.spectral_contrast_coeffs.kurt[5].original,269,0.07363575823574116
lowlevel.spectral_contrast_coeffs.kurt[6].original,270,0.026795978542166483
lowlevel.spectral_contrast_coeffs.max[1].original,271,0.027801692974787285
lowlevel.spectral_contrast_coeffs.max[3].original,272,0.0884340101231195
lowlevel.spectral_contrast_coeffs.mean[6].original,273,0.041848405072029374
lowlevel.spectral_contrast_coeffs.median[1].original,274,0.0661299946679044
lowlevel.spectral_contrast_coeffs.min[1].original,275,0.026795978542166483
lowlevel.spectral_contrast_coeffs.min[2].original,276,0.026795978542166483
lowlevel.spectral_contrast_coeffs.min[3].original,277,0.026795978542166483
lowlevel.spectral_contrast_coeffs.min[4].original,278,0.026795978542166483
lowlevel.spectral_contrast_coeffs.min[5].original,279,0.026795978542166483
lowlevel.spectral_contrast_coeffs.min[6].original,280,0.026795978542166483
lowlevel.spectral_contrast_coeffs.skew[1].original,281,0.027801692974787285
lowlevel.spectral_contrast_coeffs.skew[3].original,282,0.027801692974787285
lowlevel.spectral_contrast_coeffs.skew[4].original,283,0.027801692974787285
lowlevel.spectral_contrast_coeffs.skew[5].original,284,0.044434217824871156
lowlevel.spectral_contrast_coeffs.var[2].original,285,0.061270135152500474
lowlevel.spectral_contrast_coeffs.var[5].original,286,0.11348081911630165
lowlevel.spectral_contrast_coeffs.var[6].original,287,0.027801692974787285
lowlevel.spectral_contrast_valleys.dvar2[6].original,288,0.027801692974787285
lowlevel.spectral_contrast_valleys.kurt[6].original,289,0.027801692974787285
lowlevel.spectral_contrast_valleys.max[2].original,290,0.027801692974787285
lowlevel.spectral_contrast_valleys.min[1].original,291,0.026795978542166483
lowlevel.spectral_contrast_valleys.min[2].original,292,0.026795978542166483
lowlevel.spectral_contrast_valleys.min[3].original,293,0.026795978542166483
lowlevel.spectral_contrast_valleys.min[4].original,294,0.026795978542166483
lowlevel.spectral_contrast_valleys.min[5].original,295,0.026795978542166483
lowlevel.spectral_contrast_valleys.min[6].original,296,0.026795978542166483
rhythm.beats_loudness_band_ratio.dvar[4].original,297,0.027801692974787285
rhythm.beats_loudness_band_ratio.kurt[1].original,298,0.026795978542166483
rhythm.beats_loudness_band_ratio.kurt[2].original,299,0.027801692974787285
rhythm.beats_loudness_band_ratio.kurt[3].original,300,0.027801692974787285
rhythm.beats_loudness_band_ratio.kurt[4].original,301,0.026795978542166483
rhythm.beats_loudness_band_ratio.kurt[5].original,302,0.027801692974787285
rhythm.beats_loudness_band_ratio.kurt[6].original,303,0.027801692974787285
rhythm.beats_loudness_band_ratio.max[6].original,304,0.027801692974787285
rhythm.beats_loudness_band_ratio.median[4].original,305,0.027801692974787285
rhythm.beats_loudness_band_ratio.min[1].original,306,0.027801692974787285
rhythm.beats_loudness_band_ratio.min[2].original,307,0.026795978542166483
rhythm.beats_loudness_band_ratio.min[3].original,308,0.026795978542166483
