feature,weight
lowlevel.erbbands.median[26].accompaniment,0.03835242815420569
lowlevel.erbbands.skew[7].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[4].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[6].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[13].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[16].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[25].accompaniment,0.0021717873405535026
lowlevel.erbbands.var[26].accompaniment,0.002661375724686525
lowlevel.gfcc.kurt[2].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[3].accompaniment,0.004828789607047934
lowlevel.gfcc.kurt[4].accompaniment,0.004954470966728785
lowlevel.gfcc.kurt[5].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[6].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[7].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[8].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[9].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[10].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[11].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[12].accompaniment,0.0021717873405535026
lowlevel.gfcc.kurt[13].accompaniment,0.0021717873405535026
lowlevel.gfcc.max[4].accompaniment,0.002661375724686525
lowlevel.gfcc.max[7].accompaniment,0.0021717873405535026
lowlevel.gfcc.max[8].accompaniment,0.002661375724686525
lowlevel.gfcc.max[9].accompaniment,0.002661375724686525
lowlevel.gfcc.max[11].accompaniment,0.02413582893603421
lowlevel.gfcc.max[12].accompaniment,0.002661375724686525
lowlevel.gfcc.max[13].accompaniment,0.014716982251974068
lowlevel.gfcc.mean[9].accompaniment,0.0021717873405535026
lowlevel.gfcc.mean[10].accompaniment,0.002661375724686525
lowlevel.gfcc.mean[11].accompaniment,0.002661375724686525
lowlevel.gfcc.mean[12].accompaniment,0.0021717873405535026
lowlevel.gfcc.mean[13].accompaniment,0.0021717873405535026
lowlevel.gfcc.median[5].accompaniment,0.002661375724686525
lowlevel.gfcc.median[7].accompaniment,0.0021717873405535026
lowlevel.gfcc.median[8].accompaniment,0.013915767536093514
lowlevel.gfcc.min[2].accompaniment,0.0021717873405535026
lowlevel.gfcc.min[3].accompaniment,0.002661375724686525
lowlevel.gfcc.min[6].accompaniment,0.002661375724686525
lowlevel.gfcc.min[8].accompaniment,0.012137186935508486
lowlevel.gfcc.min[9].accompaniment,0.002661375724686525
lowlevel.gfcc.min[10].accompaniment,0.002661375724686525
lowlevel.gfcc.min[11].accompaniment,0.002661375724686525
lowlevel.gfcc.min[12].accompaniment,0.002661375724686525
lowlevel.gfcc.min[13].accompaniment,0.002661375724686525
lowlevel.gfcc.skew[4].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[5].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[6].accompaniment,0.002661375724686525
lowlevel.gfcc.skew[7].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[8].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[9].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[10].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[11].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[12].accompaniment,0.0021717873405535026
lowlevel.gfcc.skew[13].accompaniment,0.0021717873405535026
lowlevel.gfcc.var[13].accompaniment,0.020933638859982562
lowlevel.melbands.kurt[2].accompaniment,0.002661375724686525
lowlevel.melbands.kurt[37].accompaniment,0.002661375724686525
lowlevel.melbands.max[15].accompaniment,0.0021717873405535026
lowlevel.melbands.max[16].accompaniment,0.0021717873405535026
lowlevel.melbands.skew[12].accompaniment,0.002661375724686525
lowlevel.melbands.skew[16].accompaniment,0.002661375724686525
lowlevel.melbands.skew[17].accompaniment,0.009414541671349122
lowlevel.melbands128.dmean2[7].accompaniment,0.023062697079471707
lowlevel.melbands128.kurt[1].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[2].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[8].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[12].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[16].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[17].accompaniment,0.0021717873405535026
lowlevel.melbands128.kurt[90].accompaniment,0.002661375724686525
lowlevel.melbands128.max[13].accompaniment,0.002661375724686525
lowlevel.melbands128.max[27].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[42].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[43].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[45].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[48].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[49].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[50].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[52].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[53].accompaniment,0.0021717873405535026
lowlevel.melbands128.max[54].accompaniment,0.0021717873405535026
lowlevel.melbands128.median[7].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[14].accompaniment,0.0021717873405535026
lowlevel.melbands128.skew[15].accompaniment,0.0021717873405535026
lowlevel.melbands128.skew[20].accompaniment,0.0021717873405535026
lowlevel.melbands128.skew[21].accompaniment,0.0021717873405535026
lowlevel.melbands128.skew[23].accompaniment,0.0021717873405535026
lowlevel.melbands128.skew[27].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[32].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[34].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[38].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[42].accompaniment,0.002661375724686525
lowlevel.melbands128.skew[47].accompaniment,0.008821667113094627
lowlevel.melbands128.skew[48].accompaniment,0.009963898216538368
lowlevel.melbands128.skew[53].accompaniment,0.019425132967469685
lowlevel.melbands128.skew[54].accompaniment,0.016524085650092248
lowlevel.melbands128.skew[55].accompaniment,0.015667328890575715
lowlevel.melbands128.skew[56].accompaniment,0.014128416000070988
lowlevel.melbands128.skew[57].accompaniment,0.016388122578796863
lowlevel.melbands128.skew[60].accompaniment,0.019813451989386038
lowlevel.melbands128.skew[63].accompaniment,0.014934757684202268
lowlevel.melbands128.skew[65].accompaniment,0.016289520485280862
lowlevel.melbands128.skew[67].accompaniment,0.01665814547424848
lowlevel.melbands128.skew[68].accompaniment,0.015350094458740667
lowlevel.melbands128.skew[69].accompaniment,0.01643911102298372
lowlevel.melbands128.skew[71].accompaniment,0.01453925911532459
lowlevel.melbands128.skew[72].accompaniment,0.015863844352946396
lowlevel.melbands128.skew[75].accompaniment,0.01570308271890027
lowlevel.melbands128.skew[80].accompaniment,0.017057151773032908
