feature,index,weight,rank
lowlevel.barkbands_flatness_db.skew.accompaniment,4,0.006310521667176638,90
tonal.hpcp.median[18].accompaniment,364,0.005927127197924242,91
tonal.hpcp.median[27].accompaniment,369,0.005818892791318841,92
tonal.hpcp.median[12].accompaniment,360,0.005226067651172708,93
lowlevel.gfcc.kurt[4].accompaniment,107,0.004954470966728785,94
lowlevel.gfcc.kurt[3].accompaniment,106,0.004828789607047934,95
tonal.hpcp.median[14].accompaniment,361,0.004727064366629855,96
lowlevel.loudness_ebu128.momentary.kurt.accompaniment,27,0.0038989714016950346,97
lowlevel.spectral_entropy.kurt.accompaniment,50,0.0037913363464142876,98
lowlevel.erbbands_crest.kurt.accompaniment,11,0.003150964108819547,99
lowlevel.melbands128.skew[42].accompaniment,188,0.002661375724686525,*
lowlevel.loudness_ebu128.short_term.kurt.accompaniment,29,0.002661375724686525,*
tonal.thpcp[6].accompaniment,377,0.002661375724686525,*
tonal.hpcp.var[31].accompaniment,374,0.002661375724686525,*
tonal.hpcp.median[36].accompaniment,372,0.002661375724686525,*
lowlevel.melbands128.skew[27].accompaniment,184,0.002661375724686525,*
lowlevel.melbands128.skew[38].accompaniment,187,0.002661375724686525,*
lowlevel.melbands128.skew[34].accompaniment,186,0.002661375724686525,*
lowlevel.melbands128.skew[32].accompaniment,185,0.002661375724686525,*
lowlevel.melbands128.kurt[90].accompaniment,166,0.002661375724686525,*
rhythm.beats_loudness_band_ratio.kurt[5].accompaniment,297,0.002661375724686525,*
tonal.hpcp.median[32].accompaniment,371,0.002661375724686525,*
tonal.chords_histogram[3].accompaniment,311,0.002661375724686525,*
lowlevel.melbands128.median[7].accompaniment,178,0.002661375724686525,*
rhythm.beats_loudness_band_ratio.max[4].accompaniment,299,0.002661375724686525,*
rhythm.beats_loudness_band_ratio.max[5].accompaniment,300,0.002661375724686525,*
lowlevel.spectral_energy.max.accompaniment,43,0.002661375724686525,*
rhythm.beats_loudness_band_ratio.min[1].accompaniment,304,0.002661375724686525,*
tonal.chords_histogram[1].accompaniment,309,0.002661375724686525,*
lowlevel.spectral_energyband_low.median.accompaniment,44,0.002661375724686525,*
lowlevel.melbands128.max[13].accompaniment,167,0.002661375724686525,*
tonal.thpcp[17].accompaniment,382,0.002661375724686525,*
rhythm.danceability.accompaniment,62,0.002661375724686525,*
lowlevel.loudness_ebu128.loudness_range.accompaniment,24,0.002661375724686525,*
lowlevel.barkbands_kurtosis.min.accompaniment,5,0.002661375724686525,*
lowlevel.mfcc.mean[9].accompaniment,231,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.skew[2].accompaniment,279,0.002661375724686525,*
lowlevel.mfcc.median[10].accompaniment,235,0.002661375724686525,*
tonal.thpcp[32].accompaniment,389,0.002661375724686525,*
lowlevel.mfcc.min[7].accompaniment,239,0.002661375724686525,*
tonal.thpcp[36].accompaniment,391,0.002661375724686525,*
lowlevel.mfcc.min[12].accompaniment,244,0.002661375724686525,*
lowlevel.mfcc.max[10].accompaniment,226,0.002661375724686525,*
lowlevel.mfcc.min[13].accompaniment,245,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.max[6].accompaniment,269,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.kurt[4].accompaniment,265,0.002661375724686525,*
lowlevel.spectral_contrast_coeffs.kurt[3].accompaniment,264,0.002661375724686525,*
lowlevel.mfcc.var[1].accompaniment,257,0.002661375724686525,*
