numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
440,61.206,9.888,0.041,0.021,0.647,0.050,0.645,0.050,0.647,0.050,0.647,0.050,0.651,0.050,0.647,0.050,0.647,0.050
450,63.202,13.038,0.043,0.023,0.646,0.051,0.645,0.051,0.646,0.051,0.646,0.051,0.650,0.052,0.646,0.051,0.646,0.051
460,67.972,11.063,0.044,0.025,0.639,0.052,0.637,0.052,0.639,0.052,0.639,0.052,0.643,0.053,0.639,0.052,0.639,0.052
470,69.922,13.872,0.048,0.026,0.638,0.051,0.636,0.052,0.638,0.051,0.638,0.051,0.642,0.052,0.638,0.051,0.638,0.051
480,74.054,13.869,0.051,0.029,0.644,0.054,0.643,0.054,0.644,0.054,0.644,0.054,0.648,0.055,0.644,0.054,0.644,0.054
490,79.891,12.541,0.053,0.030,0.647,0.054,0.645,0.054,0.647,0.054,0.647,0.054,0.651,0.054,0.647,0.054,0.647,0.054
500,83.160,15.899,0.058,0.032,0.647,0.052,0.646,0.052,0.647,0.052,0.647,0.052,0.651,0.052,0.647,0.052,0.647,0.052
510,93.453,16.891,0.063,0.033,0.645,0.050,0.643,0.050,0.645,0.050,0.645,0.050,0.649,0.050,0.645,0.050,0.645,0.050
520,93.031,18.652,0.063,0.036,0.646,0.053,0.644,0.053,0.646,0.053,0.646,0.053,0.650,0.053,0.646,0.053,0.646,0.053
530,102.058,18.122,0.065,0.039,0.643,0.052,0.641,0.052,0.643,0.052,0.643,0.052,0.648,0.052,0.643,0.052,0.643,0.052
540,105.646,21.216,0.068,0.040,0.642,0.051,0.640,0.051,0.642,0.051,0.642,0.051,0.647,0.050,0.642,0.051,0.642,0.051
550,113.561,22.128,0.073,0.044,0.646,0.050,0.644,0.050,0.646,0.050,0.646,0.050,0.650,0.050,0.646,0.050,0.646,0.050
560,119.668,27.902,0.077,0.046,0.646,0.049,0.644,0.050,0.646,0.049,0.646,0.049,0.651,0.050,0.646,0.049,0.646,0.049
570,128.408,21.871,0.080,0.047,0.647,0.048,0.645,0.049,0.647,0.048,0.647,0.048,0.651,0.048,0.647,0.048,0.647,0.048
580,135.993,25.273,0.084,0.050,0.651,0.047,0.649,0.048,0.651,0.047,0.651,0.047,0.655,0.048,0.651,0.047,0.651,0.047
