numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
70,0.075,0.012,0.012,0.003,0.650,0.046,0.643,0.045,0.650,0.046,0.650,0.046,0.656,0.047,0.650,0.046,0.642,0.046
71,0.075,0.011,0.012,0.002,0.654,0.044,0.648,0.043,0.654,0.044,0.654,0.044,0.659,0.046,0.654,0.044,0.646,0.043
72,0.076,0.011,0.012,0.002,0.652,0.042,0.646,0.041,0.652,0.042,0.652,0.042,0.657,0.044,0.652,0.042,0.644,0.041
73,0.073,0.012,0.012,0.003,0.654,0.043,0.648,0.041,0.654,0.043,0.654,0.043,0.660,0.044,0.654,0.043,0.647,0.042
74,0.075,0.010,0.012,0.003,0.653,0.043,0.647,0.041,0.653,0.043,0.653,0.043,0.658,0.043,0.653,0.043,0.645,0.042
75,0.078,0.013,0.012,0.003,0.654,0.041,0.648,0.040,0.654,0.041,0.654,0.041,0.659,0.042,0.654,0.041,0.647,0.041
76,0.078,0.013,0.012,0.003,0.656,0.040,0.650,0.039,0.656,0.040,0.656,0.040,0.661,0.041,0.656,0.040,0.648,0.039
77,0.081,0.010,0.013,0.003,0.658,0.041,0.651,0.040,0.658,0.041,0.658,0.041,0.663,0.043,0.658,0.041,0.650,0.040
78,0.081,0.012,0.013,0.003,0.657,0.042,0.651,0.041,0.657,0.042,0.657,0.042,0.662,0.044,0.657,0.042,0.649,0.041
79,0.083,0.011,0.013,0.003,0.657,0.042,0.650,0.041,0.657,0.042,0.657,0.042,0.661,0.044,0.657,0.042,0.649,0.041
80,0.065,0.012,0.011,0.002,0.655,0.043,0.649,0.041,0.655,0.043,0.655,0.043,0.660,0.044,0.655,0.043,0.647,0.041
81,0.071,0.011,0.012,0.003,0.656,0.042,0.649,0.040,0.656,0.042,0.656,0.042,0.660,0.044,0.656,0.042,0.648,0.041
82,0.074,0.010,0.012,0.003,0.655,0.042,0.648,0.041,0.655,0.042,0.655,0.042,0.659,0.044,0.655,0.042,0.647,0.041
83,0.070,0.012,0.012,0.003,0.655,0.042,0.648,0.040,0.655,0.042,0.655,0.042,0.659,0.043,0.655,0.042,0.647,0.041
84,0.069,0.011,0.012,0.003,0.655,0.041,0.649,0.039,0.655,0.041,0.655,0.041,0.660,0.042,0.655,0.041,0.647,0.040
85,0.075,0.012,0.012,0.003,0.655,0.042,0.649,0.041,0.655,0.042,0.655,0.042,0.660,0.043,0.655,0.042,0.647,0.041
86,0.073,0.012,0.012,0.003,0.653,0.041,0.647,0.040,0.653,0.041,0.653,0.041,0.658,0.042,0.653,0.041,0.645,0.040
87,0.078,0.011,0.013,0.003,0.653,0.042,0.647,0.040,0.653,0.042,0.653,0.042,0.658,0.043,0.653,0.042,0.645,0.041
88,0.077,0.013,0.012,0.003,0.652,0.042,0.647,0.041,0.652,0.042,0.652,0.042,0.658,0.043,0.652,0.042,0.645,0.041
89,0.076,0.012,0.012,0.002,0.650,0.042,0.645,0.041,0.650,0.042,0.650,0.042,0.656,0.044,0.650,0.042,0.643,0.041
90,0.076,0.012,0.012,0.003,0.653,0.041,0.647,0.040,0.653,0.041,0.653,0.041,0.658,0.043,0.653,0.041,0.645,0.040
91,0.085,0.010,0.013,0.003,0.652,0.042,0.646,0.040,0.652,0.042,0.652,0.042,0.658,0.043,0.652,0.042,0.645,0.041
92,0.080,0.011,0.013,0.003,0.652,0.041,0.647,0.039,0.652,0.041,0.652,0.041,0.659,0.042,0.652,0.041,0.645,0.040
93,0.079,0.012,0.012,0.002,0.653,0.039,0.647,0.037,0.653,0.039,0.653,0.039,0.658,0.040,0.653,0.039,0.645,0.038
94,0.084,0.012,0.014,0.003,0.650,0.038,0.644,0.037,0.650,0.038,0.650,0.038,0.656,0.038,0.650,0.038,0.643,0.037
95,0.088,0.010,0.014,0.003,0.649,0.038,0.644,0.037,0.649,0.038,0.649,0.038,0.655,0.038,0.649,0.038,0.642,0.037
96,0.071,0.011,0.012,0.003,0.651,0.039,0.645,0.037,0.651,0.039,0.651,0.039,0.657,0.039,0.651,0.039,0.644,0.038
97,0.073,0.013,0.012,0.003,0.650,0.038,0.645,0.036,0.650,0.038,0.650,0.038,0.656,0.038,0.650,0.038,0.643,0.037
98,0.074,0.011,0.013,0.003,0.651,0.038,0.645,0.036,0.651,0.038,0.651,0.038,0.657,0.038,0.651,0.038,0.644,0.037
99,0.075,0.012,0.012,0.003,0.650,0.037,0.645,0.035,0.650,0.037,0.650,0.037,0.657,0.037,0.650,0.037,0.643,0.036
100,0.072,0.012,0.012,0.003,0.650,0.039,0.644,0.037,0.650,0.039,0.650,0.039,0.656,0.038,0.650,0.039,0.643,0.038
110,0.088,0.012,0.014,0.003,0.653,0.042,0.648,0.040,0.653,0.042,0.653,0.042,0.656,0.042,0.653,0.042,0.647,0.041
120,0.090,0.011,0.014,0.003,0.664,0.041,0.660,0.040,0.664,0.041,0.664,0.041,0.669,0.041,0.664,0.041,0.659,0.040
122,0.096,0.011,0.015,0.003,0.666,0.043,0.661,0.041,0.666,0.043,0.666,0.043,0.671,0.043,0.666,0.043,0.660,0.042
