numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
42,0.176,0.023,0.015,0.003,0.526,0.048,0.524,0.049,0.526,0.048,0.526,0.048,0.530,0.050,0.526,0.048,0.526,0.048
43,0.171,0.025,0.015,0.003,0.532,0.046,0.530,0.047,0.532,0.046,0.532,0.046,0.536,0.048,0.532,0.046,0.532,0.046
44,0.164,0.026,0.015,0.003,0.536,0.047,0.533,0.047,0.536,0.047,0.536,0.047,0.540,0.049,0.536,0.047,0.536,0.047
45,0.161,0.023,0.015,0.003,0.539,0.049,0.536,0.050,0.539,0.049,0.539,0.049,0.542,0.052,0.539,0.049,0.539,0.049
46,0.159,0.020,0.015,0.003,0.551,0.047,0.549,0.047,0.551,0.047,0.551,0.047,0.555,0.048,0.551,0.047,0.552,0.047
47,0.143,0.023,0.015,0.003,0.562,0.047,0.560,0.048,0.562,0.047,0.562,0.047,0.566,0.050,0.562,0.047,0.562,0.047
48,0.133,0.018,0.015,0.003,0.565,0.054,0.563,0.056,0.565,0.054,0.565,0.054,0.571,0.057,0.565,0.054,0.565,0.055
49,0.125,0.024,0.013,0.003,0.566,0.052,0.564,0.053,0.566,0.052,0.566,0.052,0.571,0.055,0.566,0.052,0.566,0.052
50,0.130,0.017,0.015,0.003,0.566,0.051,0.564,0.053,0.566,0.051,0.566,0.051,0.571,0.055,0.566,0.051,0.566,0.051
51,0.127,0.020,0.015,0.003,0.566,0.053,0.565,0.055,0.566,0.053,0.566,0.053,0.571,0.057,0.566,0.053,0.567,0.053
52,0.126,0.019,0.015,0.003,0.569,0.053,0.567,0.054,0.569,0.053,0.569,0.053,0.574,0.057,0.569,0.053,0.569,0.053
53,0.129,0.018,0.015,0.003,0.568,0.051,0.566,0.053,0.568,0.051,0.568,0.051,0.573,0.055,0.568,0.051,0.568,0.051
54,0.127,0.019,0.015,0.003,0.568,0.054,0.566,0.055,0.568,0.054,0.568,0.054,0.572,0.058,0.568,0.054,0.568,0.054
55,0.126,0.019,0.015,0.003,0.567,0.053,0.565,0.054,0.567,0.053,0.567,0.053,0.571,0.056,0.567,0.053,0.567,0.053
56,0.127,0.018,0.015,0.003,0.567,0.052,0.565,0.053,0.567,0.052,0.567,0.052,0.571,0.055,0.567,0.052,0.567,0.052
57,0.126,0.019,0.016,0.003,0.566,0.050,0.564,0.051,0.566,0.050,0.566,0.050,0.571,0.053,0.566,0.050,0.566,0.050
58,0.121,0.021,0.015,0.003,0.569,0.050,0.567,0.051,0.569,0.050,0.569,0.050,0.573,0.052,0.569,0.050,0.569,0.050
59,0.121,0.021,0.015,0.004,0.566,0.053,0.564,0.054,0.566,0.053,0.566,0.053,0.571,0.055,0.566,0.053,0.566,0.053
60,0.127,0.015,0.015,0.003,0.567,0.054,0.565,0.055,0.567,0.054,0.567,0.054,0.572,0.056,0.567,0.054,0.567,0.054
61,0.128,0.016,0.016,0.003,0.568,0.050,0.566,0.051,0.568,0.050,0.568,0.050,0.573,0.053,0.568,0.050,0.568,0.050
62,0.123,0.017,0.016,0.004,0.574,0.048,0.572,0.049,0.574,0.048,0.574,0.048,0.579,0.050,0.574,0.048,0.574,0.048
63,0.124,0.019,0.016,0.004,0.572,0.048,0.571,0.049,0.572,0.048,0.572,0.048,0.578,0.050,0.572,0.048,0.572,0.048
64,0.111,0.017,0.015,0.004,0.571,0.049,0.569,0.050,0.571,0.049,0.571,0.049,0.576,0.051,0.571,0.049,0.571,0.049
65,0.114,0.016,0.015,0.004,0.576,0.047,0.575,0.048,0.576,0.047,0.576,0.047,0.583,0.049,0.576,0.047,0.576,0.048
66,0.115,0.017,0.016,0.003,0.571,0.050,0.570,0.051,0.571,0.050,0.571,0.050,0.577,0.051,0.571,0.050,0.571,0.050
67,0.113,0.021,0.015,0.004,0.576,0.052,0.574,0.054,0.576,0.052,0.576,0.052,0.582,0.055,0.576,0.052,0.576,0.052
68,0.110,0.019,0.015,0.004,0.577,0.052,0.575,0.052,0.577,0.052,0.577,0.052,0.583,0.054,0.577,0.052,0.577,0.052
69,0.118,0.016,0.016,0.004,0.579,0.053,0.578,0.054,0.579,0.053,0.579,0.053,0.586,0.054,0.579,0.053,0.579,0.053
70,0.115,0.015,0.016,0.004,0.581,0.051,0.580,0.052,0.581,0.051,0.581,0.051,0.586,0.053,0.581,0.051,0.581,0.051
71,0.113,0.016,0.016,0.004,0.579,0.052,0.578,0.052,0.579,0.052,0.579,0.052,0.584,0.052,0.579,0.052,0.579,0.052
72,0.108,0.016,0.016,0.004,0.577,0.051,0.576,0.052,0.577,0.051,0.577,0.051,0.583,0.052,0.577,0.051,0.577,0.052
73,0.112,0.015,0.016,0.004,0.580,0.052,0.578,0.053,0.580,0.052,0.580,0.052,0.585,0.053,0.580,0.052,0.580,0.052
74,0.106,0.017,0.016,0.004,0.579,0.052,0.577,0.052,0.579,0.052,0.579,0.052,0.584,0.053,0.579,0.052,0.579,0.052
75,0.112,0.015,0.016,0.004,0.576,0.049,0.574,0.049,0.576,0.049,0.576,0.049,0.582,0.050,0.576,0.049,0.576,0.049
76,0.112,0.016,0.017,0.004,0.578,0.050,0.576,0.051,0.578,0.050,0.578,0.050,0.583,0.052,0.578,0.050,0.578,0.050
77,0.114,0.016,0.017,0.004,0.579,0.049,0.577,0.050,0.579,0.049,0.579,0.049,0.585,0.050,0.579,0.049,0.579,0.049
78,0.117,0.013,0.018,0.004,0.578,0.048,0.576,0.049,0.578,0.048,0.578,0.048,0.584,0.050,0.578,0.048,0.578,0.048
79,0.115,0.014,0.018,0.004,0.582,0.048,0.580,0.049,0.582,0.048,0.582,0.048,0.588,0.049,0.582,0.048,0.582,0.048
80,0.107,0.014,0.017,0.004,0.582,0.049,0.580,0.050,0.582,0.049,0.582,0.049,0.588,0.050,0.582,0.049,0.582,0.049
81,0.106,0.014,0.016,0.004,0.590,0.050,0.589,0.050,0.590,0.050,0.590,0.050,0.597,0.048,0.590,0.050,0.590,0.050
82,0.099,0.017,0.015,0.004,0.588,0.050,0.587,0.050,0.588,0.050,0.588,0.050,0.594,0.049,0.588,0.050,0.588,0.050
83,0.103,0.017,0.016,0.004,0.588,0.052,0.586,0.053,0.588,0.052,0.588,0.052,0.593,0.052,0.588,0.052,0.588,0.052
84,0.106,0.013,0.016,0.004,0.588,0.050,0.586,0.051,0.588,0.050,0.588,0.050,0.593,0.051,0.588,0.050,0.588,0.050
85,0.104,0.017,0.016,0.004,0.592,0.050,0.590,0.051,0.592,0.050,0.592,0.050,0.597,0.050,0.592,0.050,0.592,0.050
86,0.113,0.011,0.017,0.004,0.595,0.050,0.593,0.051,0.595,0.050,0.595,0.050,0.600,0.052,0.595,0.050,0.595,0.051
87,0.111,0.014,0.018,0.004,0.594,0.049,0.592,0.050,0.594,0.049,0.594,0.049,0.600,0.049,0.594,0.049,0.594,0.049
88,0.114,0.011,0.017,0.004,0.594,0.049,0.592,0.050,0.594,0.049,0.594,0.049,0.600,0.050,0.594,0.049,0.594,0.049
89,0.111,0.014,0.017,0.004,0.591,0.051,0.590,0.051,0.591,0.051,0.591,0.051,0.598,0.050,0.591,0.051,0.591,0.051
90,0.114,0.013,0.018,0.004,0.594,0.048,0.592,0.049,0.594,0.048,0.594,0.048,0.600,0.048,0.594,0.048,0.594,0.049
91,0.111,0.015,0.017,0.004,0.594,0.051,0.593,0.051,0.594,0.051,0.594,0.051,0.601,0.050,0.594,0.051,0.594,0.051
92,0.118,0.016,0.019,0.005,0.592,0.050,0.591,0.051,0.592,0.050,0.592,0.050,0.599,0.051,0.592,0.050,0.592,0.050
93,0.119,0.014,0.019,0.005,0.593,0.050,0.592,0.050,0.593,0.050,0.593,0.050,0.599,0.050,0.593,0.050,0.593,0.050
94,0.119,0.013,0.019,0.004,0.593,0.050,0.591,0.050,0.593,0.050,0.593,0.050,0.600,0.050,0.593,0.050,0.593,0.050
95,0.121,0.016,0.018,0.004,0.591,0.050,0.590,0.050,0.591,0.050,0.591,0.050,0.598,0.050,0.591,0.050,0.591,0.050
