numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
42,0.048,0.010,0.009,0.002,0.562,0.050,0.561,0.050,0.562,0.050,0.562,0.050,0.576,0.052,0.562,0.050,0.562,0.051
43,0.057,0.009,0.011,0.002,0.564,0.050,0.563,0.049,0.564,0.050,0.564,0.050,0.579,0.052,0.564,0.050,0.564,0.050
44,0.056,0.011,0.010,0.002,0.564,0.050,0.563,0.050,0.564,0.050,0.564,0.050,0.579,0.053,0.564,0.050,0.565,0.051
45,0.053,0.011,0.010,0.002,0.570,0.052,0.570,0.052,0.570,0.052,0.570,0.052,0.584,0.055,0.570,0.052,0.570,0.052
46,0.055,0.011,0.010,0.002,0.569,0.055,0.568,0.054,0.569,0.055,0.569,0.055,0.582,0.057,0.569,0.055,0.569,0.055
47,0.057,0.011,0.010,0.002,0.570,0.057,0.570,0.056,0.570,0.057,0.570,0.057,0.583,0.058,0.570,0.057,0.570,0.057
48,0.044,0.010,0.009,0.002,0.567,0.056,0.566,0.056,0.567,0.056,0.567,0.056,0.579,0.057,0.567,0.056,0.567,0.056
49,0.043,0.009,0.009,0.002,0.570,0.055,0.570,0.054,0.570,0.055,0.570,0.055,0.582,0.055,0.570,0.055,0.570,0.055
50,0.043,0.010,0.009,0.002,0.580,0.054,0.580,0.053,0.580,0.054,0.580,0.054,0.592,0.054,0.580,0.054,0.580,0.054
51,0.047,0.009,0.009,0.002,0.584,0.051,0.584,0.050,0.584,0.051,0.584,0.051,0.595,0.051,0.584,0.051,0.584,0.051
52,0.046,0.010,0.009,0.002,0.581,0.053,0.581,0.052,0.581,0.053,0.581,0.053,0.593,0.053,0.581,0.053,0.581,0.053
53,0.046,0.010,0.008,0.002,0.581,0.054,0.581,0.053,0.581,0.054,0.581,0.054,0.593,0.053,0.581,0.054,0.581,0.054
54,0.046,0.009,0.009,0.002,0.582,0.051,0.582,0.051,0.582,0.051,0.582,0.051,0.594,0.051,0.582,0.051,0.582,0.051
55,0.052,0.010,0.009,0.002,0.579,0.053,0.579,0.053,0.579,0.053,0.579,0.053,0.590,0.052,0.579,0.053,0.579,0.053
56,0.050,0.010,0.009,0.002,0.579,0.055,0.579,0.054,0.579,0.055,0.579,0.055,0.591,0.054,0.579,0.055,0.579,0.055
57,0.052,0.010,0.009,0.002,0.581,0.054,0.581,0.053,0.581,0.054,0.581,0.054,0.593,0.054,0.581,0.054,0.581,0.054
58,0.055,0.009,0.010,0.002,0.581,0.054,0.581,0.054,0.581,0.054,0.581,0.054,0.592,0.055,0.581,0.054,0.581,0.054
59,0.057,0.009,0.010,0.002,0.581,0.053,0.581,0.053,0.581,0.053,0.581,0.053,0.593,0.053,0.581,0.053,0.581,0.053
60,0.058,0.009,0.011,0.002,0.581,0.055,0.581,0.054,0.581,0.055,0.581,0.055,0.594,0.055,0.581,0.055,0.581,0.055
