numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
240,0.163,0.028,0.036,0.009,0.667,0.045,0.666,0.046,0.667,0.045,0.667,0.045,0.673,0.047,0.667,0.045,0.667,0.045
250,0.175,0.032,0.037,0.010,0.669,0.046,0.668,0.047,0.669,0.046,0.669,0.046,0.675,0.048,0.669,0.046,0.669,0.046
260,0.184,0.030,0.040,0.010,0.665,0.046,0.664,0.047,0.665,0.046,0.665,0.046,0.670,0.048,0.665,0.046,0.665,0.046
270,0.194,0.030,0.040,0.010,0.674,0.044,0.672,0.045,0.674,0.044,0.674,0.044,0.679,0.046,0.674,0.044,0.674,0.044
280,0.213,0.032,0.044,0.010,0.677,0.047,0.675,0.047,0.677,0.047,0.677,0.047,0.681,0.048,0.677,0.047,0.677,0.047
290,0.216,0.038,0.045,0.011,0.679,0.046,0.677,0.047,0.679,0.046,0.679,0.046,0.683,0.048,0.679,0.046,0.679,0.047
300,0.235,0.034,0.049,0.011,0.680,0.047,0.679,0.047,0.680,0.047,0.680,0.047,0.685,0.048,0.680,0.047,0.680,0.047
310,0.230,0.054,0.046,0.012,0.678,0.046,0.677,0.047,0.678,0.046,0.678,0.046,0.682,0.047,0.678,0.046,0.679,0.046
320,0.243,0.051,0.050,0.013,0.679,0.046,0.677,0.046,0.679,0.046,0.679,0.046,0.682,0.047,0.679,0.046,0.679,0.046
330,0.251,0.053,0.052,0.015,0.682,0.046,0.680,0.047,0.682,0.046,0.682,0.046,0.686,0.047,0.682,0.046,0.682,0.046
340,0.256,0.067,0.053,0.016,0.685,0.046,0.683,0.047,0.685,0.046,0.685,0.046,0.690,0.047,0.685,0.046,0.685,0.046
350,0.276,0.081,0.053,0.017,0.687,0.048,0.685,0.049,0.687,0.048,0.687,0.048,0.692,0.049,0.687,0.048,0.687,0.048
360,0.292,0.074,0.056,0.019,0.689,0.051,0.688,0.051,0.689,0.051,0.689,0.051,0.694,0.052,0.689,0.051,0.689,0.051
370,0.318,0.067,0.061,0.018,0.693,0.052,0.691,0.053,0.693,0.052,0.693,0.052,0.699,0.053,0.693,0.052,0.693,0.052
380,0.362,0.074,0.066,0.017,0.694,0.052,0.692,0.052,0.694,0.052,0.694,0.052,0.699,0.052,0.694,0.052,0.694,0.052
390,0.358,0.077,0.066,0.020,0.693,0.052,0.692,0.053,0.693,0.052,0.693,0.052,0.698,0.053,0.693,0.052,0.693,0.052
400,0.387,0.090,0.068,0.021,0.694,0.052,0.692,0.053,0.694,0.052,0.694,0.052,0.700,0.053,0.694,0.052,0.694,0.052
410,0.403,0.106,0.075,0.025,0.693,0.051,0.691,0.052,0.693,0.051,0.693,0.051,0.698,0.052,0.693,0.051,0.693,0.051
412,0.464,0.101,0.080,0.022,0.691,0.051,0.690,0.052,0.691,0.051,0.691,0.051,0.697,0.052,0.691,0.051,0.691,0.052
