numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
300,0.236,0.043,0.048,0.011,0.673,0.049,0.672,0.050,0.673,0.049,0.673,0.049,0.678,0.050,0.673,0.049,0.673,0.049
310,0.251,0.066,0.048,0.014,0.674,0.050,0.672,0.051,0.674,0.050,0.674,0.050,0.678,0.051,0.674,0.050,0.674,0.050
320,0.256,0.061,0.051,0.015,0.674,0.050,0.671,0.051,0.674,0.050,0.674,0.050,0.678,0.051,0.674,0.050,0.674,0.050
330,0.278,0.047,0.056,0.013,0.679,0.048,0.676,0.049,0.679,0.048,0.679,0.048,0.682,0.049,0.679,0.048,0.679,0.048
340,0.289,0.104,0.052,0.018,0.681,0.046,0.679,0.047,0.681,0.046,0.681,0.046,0.685,0.048,0.681,0.046,0.681,0.046
350,0.303,0.084,0.058,0.016,0.685,0.049,0.683,0.049,0.685,0.049,0.685,0.049,0.689,0.049,0.685,0.049,0.685,0.049
360,0.304,0.072,0.058,0.015,0.688,0.050,0.686,0.051,0.688,0.050,0.688,0.050,0.692,0.051,0.688,0.050,0.688,0.050
370,0.336,0.063,0.066,0.017,0.689,0.053,0.687,0.053,0.689,0.053,0.689,0.053,0.693,0.054,0.689,0.053,0.689,0.053
380,0.336,0.074,0.060,0.019,0.686,0.054,0.685,0.054,0.686,0.054,0.686,0.054,0.691,0.055,0.686,0.054,0.686,0.054
390,0.362,0.107,0.062,0.020,0.687,0.054,0.686,0.055,0.687,0.054,0.687,0.054,0.693,0.055,0.687,0.054,0.688,0.055
400,0.417,0.076,0.069,0.019,0.690,0.053,0.689,0.054,0.690,0.053,0.690,0.053,0.695,0.054,0.690,0.053,0.690,0.053
410,0.411,0.103,0.071,0.022,0.692,0.051,0.690,0.051,0.692,0.051,0.692,0.051,0.697,0.052,0.692,0.051,0.692,0.051
412,0.459,0.116,0.075,0.022,0.691,0.051,0.690,0.052,0.691,0.051,0.691,0.051,0.697,0.052,0.691,0.051,0.691,0.052
