kernel,params,rank_test_score,mean_test_score,std_test_score
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5508089356460603,0.0517125438799494
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5508089356460603,0.0517125438799494
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",3,0.542080398822526,0.04761217751074596
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",4,0.5402998249654233,0.050045047095256756
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",5,0.5395940456415907,0.04901745779277727
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",5,0.5395940456415907,0.04901745779277727
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",7,0.5381492298394598,0.051073444140012664
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",8,0.5340987430155276,0.049206679474284414
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.5340987430155276,0.049206679474284414
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",10,0.532954242355054,0.04709592484797577
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",11,0.532952828360241,0.04805035602299088
10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",12,0.5316940653894031,0.04909727630682246
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",13,0.528854802461896,0.04701826555642556
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",13,0.528854802461896,0.04701826555642556
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",13,0.528854802461896,0.04701826555642556
0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",16,0.5277234124357287,0.04365292565297034
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",17,0.5277227820051309,0.05070812276670034
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",18,0.5277106481074362,0.04907809848910329
100_2_1_poly,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",19,0.5275024382791662,0.0499992411694025
0.1_2_scale_poly,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",20,0.526854132999382,0.04659370162689713
100_2_scale_poly,"{'C': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",21,0.5258949175124376,0.049391361581970473
10_3_1_poly,"{'C': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",22,0.5257526124477309,0.04982905610073108
1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",23,0.5251466780825003,0.05078986014988766
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",24,0.5249231257337972,0.049604437266080686
1_linear,"{'C': 1, 'kernel': 'linear'}",25,0.5248378948539589,0.049718281683768746
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",26,0.5247528746110439,0.04981356212168839
1000_3_0.1_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",27,0.5247095200880332,0.04674699973118472
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",27,0.5247095200880332,0.04674699973118472
1_3_1_poly,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",27,0.5247095200880332,0.04674699973118472
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",30,0.5243373197561185,0.05049362350500351
10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",30,0.5243373197561185,0.05049362350500351
1000_2_0.1_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",30,0.5243373197561185,0.05049362350500351
0.1_scale_rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",33,0.524043212245436,0.045831044465462156
10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",34,0.5232466772654347,0.04986262141268435
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",34,0.5232466772654347,0.04986262141268435
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",36,0.5224832162480432,0.05125064362452481
100_linear,"{'C': 100, 'kernel': 'linear'}",37,0.5223657238832284,0.05073199109616383
10_linear,"{'C': 10, 'kernel': 'linear'}",38,0.5223100598570035,0.05130741561165724
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",39,0.5217479989796874,0.04758762875433894
1000_2_1_poly,"{'C': 1000, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",40,0.5217473270200113,0.04901447925481283
1000_linear,"{'C': 1000, 'kernel': 'linear'}",41,0.5215990945412083,0.05235197534129475
1000_2_scale_poly,"{'C': 1000, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",42,0.5191547893902941,0.050413172761492334
10_4_1_poly,"{'C': 10, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",43,0.5150960193394662,0.051534302837170316
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",44,0.5140006687637775,0.05051256710673027
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",45,0.5136296298930891,0.05217949583186596
1_auto_rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",46,0.5127827706358222,0.05051513929001815
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",46,0.5127827706358222,0.05051513929001815
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",48,0.5123757675218683,0.049368457709850815
10_3_scale_poly,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",49,0.5113493319931505,0.04885945556696156
100_0.1_sigmoid,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",50,0.5112713294723183,0.048520342709419725
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",50,0.5112713294723183,0.048520342709419725
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",52,0.511070226107876,0.04724988104233413
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",52,0.511070226107876,0.04724988104233413
10_2_auto_poly,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",52,0.511070226107876,0.04724988104233413
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",55,0.5109545378067826,0.04711139206494901
100_3_1_poly,"{'C': 100, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",56,0.5100411806569414,0.04513576271601947
1_4_1_poly,"{'C': 1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",57,0.5099683713533464,0.05398213165426693
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",58,0.505671239779416,0.04855469764079305
