feature,index,rank
lowlevel.gfcc.min[8].accompaniment,103,129
lowlevel.erbbands.mean[9].accompaniment,70,130
lowlevel.mfcc.min[9].accompaniment,201,131
lowlevel.spectral_energyband_low.median.original,359,132
tonal.thpcp[34].vocal,967,133
lowlevel.gfcc.var[3].original,453,134
lowlevel.melbands128.skew[54].original,500,135
lowlevel.melbands128.skew[58].original,504,136
lowlevel.spectral_energyband_middle_low.mean.accompaniment,34,137
rhythm.beats_loudness_band_ratio.dvar2[4].vocal,911,138
lowlevel.spectral_contrast_coeffs.median[6].vocal,896,139
lowlevel.gfcc.kurt[4].accompaniment,82,140
tonal.key_temperley.scale.original,651,141
lowlevel.mfcc.min[9].original,541,142
lowlevel.barkbands.skew[12].accompaniment,61,143
lowlevel.melbands128.kurt[10].vocal,824,144
lowlevel.gfcc.min[5].original,435,145
lowlevel.melbands128.median[7].original,489,146
lowlevel.mfcc.min[10].original,542,147
lowlevel.spectral_contrast_coeffs.skew[5].original,575,148
lowlevel.gfcc.kurt[3].accompaniment,81,149
tonal.thpcp[14].accompaniment,309,150
lowlevel.gfcc.var[8].original,454,151
lowlevel.erbbands.dmean2[20].vocal,739,152
lowlevel.barkbands.mean[7].original,395,153
lowlevel.mfcc.max[13].original,530,154
lowlevel.mfcc.max[12].accompaniment,190,155
lowlevel.mfcc.max[3].original,524,156
tonal.thpcp[4].vocal,962,157
tonal.hpcp.median[17].original,630,158
lowlevel.gfcc.max[13].accompaniment,98,159
tonal.key_temperley.strength.vocal,724,160
lowlevel.spectral_contrast_coeffs.max[1].accompaniment,223,161
lowlevel.melbands_spread.dmean.vocal,682,162
lowlevel.melbands128.skew[48].accompaniment,152,163
lowlevel.dissonance.mean.vocal,664,164
rhythm.beats_loudness.skew.original,377,165
tonal.hpcp.median[36].original,642,166
lowlevel.spectral_contrast_valleys.max[1].vocal,907,167
lowlevel.mfcc.min[13].accompaniment,205,168
lowlevel.barkbands.mean[6].original,394,169
lowlevel.gfcc.max[11].original,431,170
lowlevel.pitch_salience.skew.original,353,171
lowlevel.melbands.skew[17].accompaniment,125,172
lowlevel.mfcc.min[10].accompaniment,202,173
lowlevel.mfcc.var[4].vocal,882,174
lowlevel.spectral_energyband_middle_low.max.original,363,175
lowlevel.melbands128.skew[47].accompaniment,151,176
lowlevel.spectral_contrast_coeffs.kurt[4].accompaniment,221,177
lowlevel.erbbands_flatness_db.skew.accompaniment,14,178
tonal.tuning_equal_tempered_deviation.vocal,725,179
lowlevel.melbands128.skew[91].original,511,180
lowlevel.spectral_energyband_middle_low.max.accompaniment,33,181
lowlevel.mfcc.var[1].vocal,880,182
tonal.thpcp[8].accompaniment,306,183
lowlevel.gfcc.var[7].vocal,812,184
tonal.hpcp.median[26].original,635,185
tonal.thpcp[32].accompaniment,317,186
lowlevel.erbbands_kurtosis.median.accompaniment,15,187
lowlevel.barkbands.skew[9].accompaniment,59,188
lowlevel.mfcc.min[11].original,543,189
lowlevel.erbbands_spread.median.vocal,673,190
lowlevel.melbands128.skew[42].accompaniment,150,191
lowlevel.erbbands.max[27].accompaniment,67,192
lowlevel.gfcc.min[10].accompaniment,105,193
lowlevel.mfcc.max[8].vocal,871,194
lowlevel.mfcc.mean[12].original,533,195
tonal.thpcp[29].accompaniment,315,196
lowlevel.mfcc.max[9].vocal,872,197
lowlevel.gfcc.median[6].vocal,801,198
tonal.hpcp_crest.kurt.vocal,720,199
lowlevel.loudness_ebu128.momentary.min.vocal,676,200
lowlevel.gfcc.min[8].original,437,201
tonal.hpcp.median[23].original,633,202
lowlevel.erbbands_crest.min.accompaniment,11,203
lowlevel.spectral_contrast_coeffs.kurt[4].original,562,204
lowlevel.spectral_contrast_coeffs.min[3].vocal,898,205
lowlevel.melbands128.skew[19].vocal,848,206
lowlevel.gfcc.min[12].accompaniment,107,207
lowlevel.barkbands.max[6].original,391,208
lowlevel.barkbands.dmean2[9].vocal,727,209
lowlevel.gfcc.min[2].vocal,802,210
lowlevel.erbbands_kurtosis.skew.accompaniment,16,211
lowlevel.spectral_strongpeak.var.original,373,212
lowlevel.melbands128.skew[38].accompaniment,149,213
tonal.thpcp[36].accompaniment,319,214
lowlevel.barkbands.skew[15].original,401,215
lowlevel.barkbands_crest.min.original,321,216
lowlevel.gfcc.min[13].accompaniment,108,217
rhythm.beats_loudness_band_ratio.median[2].vocal,918,218
tonal.hpcp.median[21].accompaniment,300,219
lowlevel.gfcc.min[7].vocal,805,220
lowlevel.spectral_entropy.kurt.accompaniment,35,221
tonal.thpcp[6].accompaniment,305,222
lowlevel.gfcc.max[12].accompaniment,97,223
lowlevel.erbbands_kurtosis.max.original,331,224
lowlevel.erbbands.dmean2[13].vocal,737,225
tonal.hpcp.median[3].original,624,226
tonal.thpcp[36].original,648,227
lowlevel.mfcc.max[11].accompaniment,189,228
rhythm.beats_loudness_band_ratio.max[5].accompaniment,248,229
lowlevel.melbands128.skew[18].vocal,847,230
lowlevel.spectral_contrast_coeffs.kurt[2].original,560,231
tonal.thpcp[19].vocal,964,232
lowlevel.erbbands.dmean[23].vocal,734,233
lowlevel.mfcc.max[10].accompaniment,188,234
lowlevel.melbands128.skew[45].original,498,235
lowlevel.mfcc.var[3].vocal,881,236
lowlevel.melbands128.skew[32].accompaniment,147,237
lowlevel.melbands128.max[13].accompaniment,131,238
lowlevel.mfcc.max[10].vocal,873,239
lowlevel.barkbands.dmean2[10].original,389,240
lowlevel.spectral_energyband_middle_low.mean.vocal,695,241
lowlevel.gfcc.max[9].accompaniment,95,242
lowlevel.mfcc.min[12].accompaniment,204,243
